ID,Code,Original Text,Enhanced Text
140,416,I forgot it points to the same thing and not a copy of it like in python,"I forgot, it points to the same thing and not a copy of it like in Python"
140,252,didn't realize there was no static in front of String,I didn't realize there was no static keyword before the String type
140,224,Missed the colon instead of the curly brackets,I missed the colon instead of the curly brackets
140,248,pointer check,I forgot to check my pointers.
140,243,It gets overwrited? What because it's static?,It gets overwritten. I should have checked that because it's a static variable.
140,419,pointer check. Jim points to dwight so any changes to either change the object for both pointers,"I forgot to check pointer. Jim points to Dwight, so any changes to either will change the object for both pointers."
140,235,I misread this,I misread this material.
140,223,Main fulfills the role of function?,The main module fulfills the role of a function.
140,422,pointer check,I forgot to check my pointer.
144,401,"a and b point to the same value, until a chages","a and b point to the same value, until A changes"
144,227,We are printing lime specifically not just anything,"We are specifically printing lime, not just anything"
144,226,I didn't know java and print ints,"I didn't know Java, so I couldn't print ints"
144,410,"b doesn't change pointer from 43, I guess",I think b does not change the pointer from 43; I guess
144,257,I'm not sure actually,"I'm not quite sure, actually."
149,233,misunderstand Python syntax,I misunderstood Python syntax
156,248,"I thought that referencing color or brand would confuse the code because it's a class variable, but it turns out that the method can change class variables because they were already declared.","I thought referencing color or brand would confuse the code because it's a class variable, but it turns out that the method can change class variables since they were already declared."
38,254,I didn't think to look whether there was a print command in the code,I didn't think to look whether there was a print command in the code.
38,416,I didn't think that jan.jersey_number would also update when michael.jersey_number was increased,I didn't think that jan.jersey_number would also update when michael.jersey_number is increased
38,224,Error regarding bracket formatting,I encountered an error with bracket formatting.
38,420,I didn't think that forrest.animal would also update,I didn't think that forest.animal would also update.
38,250,I didn't see that brand is static,I didn't realize that the brand was static
140,416,I forgot it points to the same thing and not a copy of it like in python,"I forgot, it points to the same thing and not a copy of it like in Python"
158,226,I thought since it had to be similar to the python code we had to make a method to add the numbers,"I thought since it had to be similar to Python code, we had to make a method to add the numbers"
161,253,Unsure that you could call randomMethod() from MyClass as it wasn't a static method,I'm unsure if I can call the `randomMethod()` function from `MyClass` since it's not a static method.
161,240,Misclicked,I misclicked.
161,231,Didn't pay attention to type declarations ,I didn't pay enough attention to type declarations.
176,252,I did not notice that the func() method was non-static.,I did not notice that the func() method is non-static.
140,225,"I thought you needed to do this.add, but it makes sense given that it's inside the class. The only thing is I don't know what the point of ""this"" is anymore outside of defining instance attributes","I thought you needed to do this.add, but it makes sense given that it's inside the class. The only thing is I don't know what the point of 'this' is anymore outside of defining instance attributes and need clarification on its usage."
140,397,"Ohhhhh, it doesn't work because webreg doesn't contain information()",It doesn't work because webreg doesn't contain the function `information()`
125,210,Java non-static methods cannot be referenced from static context!,Java non-static methods can't be referenced from a static context.
140,759,didn't pay close enough attention to the for loop,I didn't pay close enough attention to the for loop.
140,215,that's nuts. So using an int array must just get rid of the decimals,That's nuts. Using an int array will just remove the decimals.
140,384,"oooohhhhhh, the default value of a declared int is 0!",The default value of a declared int is indeed 0!
140,325,bro this is literally a type difference that's so mean,"Bro, this is literally a type difference that's so mean."
47,626,this is the place to write why I think I got this question wrong :) ,"This is the place to write, why I think I got this question wrong :)"
140,766,rip,"I didn't do well on this test, I struggled with some questions."
140,386,didn't realize the variables were named differently,I didn't realize the variables were named differently
140,264,confused get color and calories,I got confused between color and calories.
140,324,didn't realize that it wasn't printPersonInfo(),I didn't realize I wasn't calling printPersonInfo().
140,230,no semi-colons lol,I didn't use semicolons
140,225,"didn't declare x, y, or z as integers","I didn't declare x, y, or z as integers."
140,765,I just straight up didn't read this,I just straight up didn't read this thoroughly.
140,380,you don't have to @Override?,You don't have to @Override. You should also consider @Equals and @Hashcode.
168,762,I don't really understand how Generics work,I'm struggling to grasp how Generics work
168,389,Is the default int just 0?,I am not sure if the default int is always 0.
168,328,The class cannot implement the methods,The class can't implement the methods
168,766,Is object also in the super Shape?,Is the object also in the Super Shape?
195,237,"no return type needed (did not see ""type"")",No return type is needed. I did not see 'return' keyword.
195,339,line needed: Apple.newRevenue = Apple.basicRevenue + Apple.changeRevenue;,The line needed is: Apple.newRevenue = Apple.basicRevenue + Apple.changeRevenue;
199,220,?,"I didn't do well overall. I struggled with some concepts, like pointer check and memory management. To improve, I will review notes and take practice problems."
199,766,??,"I struggled with some topics, particularly advanced data structures. I need to review these topics more thoroughly and practice implementing algorithms."
176,332,I simply did not know the definition of overloading in Java.,"I simply did not know the definition of overloading in Java, which is when a single parameter name is used with different data types."
165,392,v,
140,373,"didn't realize a was true, but it makes sense considering interfaces are specifically made for inheritance","I didn't realize that A was true, but it makes sense given that interfaces are specifically designed for inheritance"
140,764,<T> needs to be in front of voi,"The variable T needs to be declared before usage, not 'in front of' voice."
140,395,DSC 30 extends webreg but webreg does not extend DSC 30,"DSC 30 extends webreg, but webreg does not extend DSC 30"
140,381,@Override?,I'm not sure why I need @Override?
168,399,I thought they pointed to the same box so it changed for both variables,"I thought they pointed to the same box, so it changes for both variables."
208,374,不了解,I didn't understand
208,243,static,The variable is static.
